"No","Vendor","Nama Paket (Plan)","CPU","RAM","Disk I/O Speed","Harga/Bulan (USD)"
"1","Hetzner","CPX31","4 vCPU","8 GB","160 GB NVMe & 1 Gbps","$ 9.51"
"2","OVHcloud","VLE-4 (Comfort)","4 vCPU","8 GB","160 GB NVMe & 1 Gbps","$ 14.50"
"3","Dewaweb","Cloud VPS (Paket M)","6 vCPU","16 GB","100 GB NVMe & 1 Gbps","$ 16.32"
"4","IDCloudHost","Cloud VPS Pro (8GB)","4 vCPU","8 GB","80 GB NVMe & Up to 10 Gbps","$ 19.63"
"5","Niagahoster","Cloud VPS KVM 8GB","4 vCPU","8 GB","100 GB SSD & 100 Mbps+","$ 21.47"
"6","Biznet Gio","NEO Lite (MM.8.4)","4 vCPU","8 GB","60 GB NVMe & 1 Gbps","$ 21.78"
"7","Rumahweb","Cloud VPS 8GB","4 vCPU","8 GB","80 GB SSD & 1 Gbps","$ 24.54"
"8","DomaiNesia","Cloud VPS Cirrus 8GB","4 vCPU","8 GB","160 GB NVMe & 1 Gbps","$ 25.52"
"9","Qwords","Cloud VPS KVM SC8","4 vCPU","8 GB","160 GB SSD & 1 Gbps","$ 33.74"
"10","Jagoan Hosting","Cloud VPS Mega","4 vCPU","8 GB","160 GB SSD & 1 Gbps","$ 39.45"
"11","Linode","Shared Linode 8GB","4 vCPU","8 GB","160 GB SSD & 5 Gbps","$ 40.00"
"12","DigitalOcean","Premium Droplet","4 vCPU","8 GB","160 GB NVMe & 4 Gbps","$ 48.00"
"13","Vultr","Cloud Compute","4 vCPU","8 GB","160 GB NVMe & 10 Gbps","$ 48.00"
"14","Tencent Cloud","S5.LARGE16 + 100GB","4 vCPU","16 GB","100 GB SSD & 1.5 Gbps","$ 52.00*"
"15","Scaleway","PRO2-S","4 vCPU","16 GB","50 GB NVMe & 1.5 Gbps","$ 52.20"
"16","UpCloud","General Purpose","4 vCPU","8 GB","160 GB Storage & 1 Gbps+","$ 56.00"
"17","Alibaba Cloud","ecs.g6.xlarge + 100GB","4 vCPU","16 GB","100 GB SSD & 10 Gbps","$ 82.00*"
"18","Google Cloud","e2-standard-4 + 100GB","4 vCPU","16 GB","100 GB SSD & 8 Gbps","$ 128.00*"
"19","AWS EC2","t3.xlarge + 100GB","4 vCPU","16 GB","100 GB SSD & 5 Gbps","$ 130.00*"
"20","Azure","B4ms + 100GB","4 vCPU","16 GB","100 GB SSD & Variable","$ 141.00*"
